epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3086.24,1.60665,0.96257,0.89094,0.86507,0.73944,0.82473,0.35254,2.00763,0.9009,0.86777,0.000247716,0.000247716,0.000247716
88,3121.66,1.6457,0.80735,0.86731,0.84616,0.74648,0.82045,0.34206,2.01207,0.91447,0.86812,0.000231213,0.000231213,0.000231213
89,3157.35,1.70385,0.8605,0.88405,0.84859,0.75352,0.82408,0.33621,2.0161,0.92633,0.8669,0.00021471,0.00021471,0.00021471
90,3193.04,1.57086,0.78546,0.87252,0.8494,0.75468,0.825,0.33984,2.01317,0.91769,0.8669,0.000198206,0.000198206,0.000198206
91,3228.02,1.62799,0.88131,0.87409,0.85216,0.75094,0.83043,0.34431,2.01229,0.90616,0.8668,0.000181703,0.000181703,0.000181703
92,3263.08,1.80653,1.39774,0.94466,0.87029,0.73239,0.83012,0.34942,2.02643,0.90241,0.86923,0.0001652,0.0001652,0.0001652
93,3298.26,1.51621,0.81207,0.88101,0.87029,0.72887,0.82854,0.34894,2.01497,0.90161,0.86873,0.000148696,0.000148696,0.000148696
94,3332.71,1.61778,0.87414,0.90563,0.86809,0.7647,0.84789,0.35381,1.99474,0.9051,0.8664,0.000132193,0.000132193,0.000132193
95,3367.21,1.60821,0.81628,0.88104,0.854,0.77465,0.84661,0.35175,1.9865,0.90761,0.86504,0.00011569,0.00011569,0.00011569
96,3401.46,1.52425,0.77487,0.87724,0.83598,0.78169,0.83638,0.34673,1.97156,0.90364,0.86313,9.91865e-05,9.91865e-05,9.91865e-05
97,3435.88,1.54133,0.7771,0.9076,0.83794,0.77817,0.83491,0.34676,1.96738,0.90164,0.86227,8.26832e-05,8.26832e-05,8.26832e-05
98,3470.35,1.52685,0.78139,0.8815,0.82821,0.78087,0.83542,0.34506,1.97185,0.90152,0.86188,6.61799e-05,6.61799e-05,6.61799e-05
99,3504.77,1.54959,0.7905,0.88758,0.83251,0.77008,0.83523,0.34359,1.9742,0.90006,0.86201,4.96766e-05,4.96766e-05,4.96766e-05
100,3539.14,1.5339,0.78087,0.88826,0.8419,0.76879,0.83735,0.34429,1.97454,0.89656,0.86199,3.31733e-05,3.31733e-05,3.31733e-05
